json_obj,Post,threads
"{'author': {}, 'comments': ['Michelle Obama and Bernie Sanders will headline the first night of the Democratic National Convention, which will air from 9 p.m. to 11 p.m. Eastern time. There are several ways to watch.'], 'id': '0dfa7fc5312f16c2dde42d98d1d531ed'}",,"Michelle Obama and Bernie Sanders will headline the first night of the Democratic National Convention, which will air from 9 p.m. to 11 p.m. Eastern time. There are several ways to watch."
"{'author': {}, 'comments': ['🙏🏽✨🙏🏽✨pray, pray, pray....he’s out and finds another country to bother'], 'id': '3b872862ee0fdb4ac24b5cc169b87f9e', 'post': ['How has the U.S. changed with Trump as President? These 2 pictures of the White House behind its fence, one from 2018, one from 2020, they clarify our stark dystopian reality. https://www.washingtonian.com/…/the-white-house-has-become…/']}","How has the U.S. changed with Trump as President? These 2 pictures of the White House behind its fence, one from 2018, one from 2020, they clarify our stark dystopian reality. https://www.washingtonian.com/…/the-white-house-has-become…/","🙏🏽✨🙏🏽✨pray, pray, pray....he’s out and finds another country to bother"
"{'author': {}, 'comments': ['Vontrez White is fantastic ~ definitely get him as a coach !'], 'id': 'f2c5e266ef8c65bf1ea2da34c3d53e56', 'post': ['Hey everyone, I’m looking to coach/judge for a school this 2020-2021 season. My main areas I’ve focused in on are antiblackness studies, some baudrillard, gender-queer theory, and security studies. Last year I qualled to the NDT and i’m currently going into my 3rd year of debate at csuf, dm me or email me at wvontrez@gmail.com if interested']}","Hey everyone, I’m looking to coach/judge for a school this 2020-2021 season. My main areas I’ve focused in on are antiblackness studies, some baudrillard, gender-queer theory, and security studies. Last year I qualled to the NDT and i’m currently going into my 3rd year of debate at csuf, dm me or email me at wvontrez@gmail.com if interested",Vontrez White is fantastic ~ definitely get him as a coach !
"{'author': {}, 'comments': ['Been interested in trying this place!', 'So good!  The kids loved it!'], 'id': 'afdf6e085c24e80061835a5894d1fd21', 'post': [""Yummmm!!! 😋 My MV peeps if you haven't checked this out yet get to it. Delicious dumplings, soup, beet salad...the list goes on. The kids even love it.😍 Please support local! Great food, excellent service. — at Alaskan Dumplings.""]}","Yummmm!!! 😋 My MV peeps if you haven't checked this out yet get to it. Delicious dumplings, soup, beet salad...the list goes on. The kids even love it.😍 Please support local! Great food, excellent service. — at Alaskan Dumplings.",Been interested in trying this place! So good!  The kids loved it!
"{'author': {}, 'comments': ['smart and cool and nice hire please'], 'id': '122df16719a350234540074880ce0140', 'post': ['I’m available to judge at Grapevine and Loyola. PM if interested']}",I’m available to judge at Grapevine and Loyola. PM if interested,smart and cool and nice hire please
"{'author': {}, 'comments': [""It's like now-ish"", 'He’s a Dame-r.  Nothing like walking into a 36 footer.', 'Justice -o- clock'], 'id': 'e05917a26e7b6b280a70ab2e6200a245', 'post': ['anybody know what time it is?']}",anybody know what time it is?,It's like now-ish He’s a Dame-r.  Nothing like walking into a 36 footer. Justice -o- clock
"{'author': {}, 'comments': ['It was amazing! Eloquent and intelligent people spoke their minds and showed care and respect for human life. Something we haven’t heard from our government in recent times.', 'They did a terrific job of being creative with the new all-virtual format while providing substance and being inclusive. They addressed vital subjects for our nation: unity, compassion for those suffering, competent leadership, outing and refusing corruption, clear statements against authoritarianism, more. The first night of the convention was a solid success.'], 'id': '44870aa6bfbe254b1064be523bf70dc3', 'post': ['The first night of the all-virtual Democratic National Convention was, to put it mildly, weird. Catch up on everything that happened here.']}","The first night of the all-virtual Democratic National Convention was, to put it mildly, weird. Catch up on everything that happened here.","It was amazing! Eloquent and intelligent people spoke their minds and showed care and respect for human life. Something we haven’t heard from our government in recent times. They did a terrific job of being creative with the new all-virtual format while providing substance and being inclusive. They addressed vital subjects for our nation: unity, compassion for those suffering, competent leadership, outing and refusing corruption, clear statements against authoritarianism, more. The first night of the convention was a solid success."
"{'author': {}, 'comments': ['I don\'t think anyone is ever all in for any candidate.  Its a two party system.  ""“The only thing necessary for the triumph of evil is for good men to do nothing.” ― Edmund Burke', 'Nevertheless, you’d be insane to vote for Trump, Republican or Democrat, white or person of color. Trump is a fool, and seeks only to destroy the strength of our nation.'], 'id': '6670e5eb2d3d108b4dd20274ae5ee0dc', 'post': [""Pundits often say Black people are the base — or even heart — of the Democratic party. But the reality is that many Black Democrats want very different things. And with a Biden-Harris ticket, generational fissures among this voting bloc have been laid bare. More on the newest episode of NPR's Code Switch: https://trib.al/Iw6chJK""]}","Pundits often say Black people are the base — or even heart — of the Democratic party. But the reality is that many Black Democrats want very different things. And with a Biden-Harris ticket, generational fissures among this voting bloc have been laid bare. More on the newest episode of NPR's Code Switch: https://trib.al/Iw6chJK","I don't think anyone is ever all in for any candidate.  Its a two party system.  ""“The only thing necessary for the triumph of evil is for good men to do nothing.” ― Edmund Burke Nevertheless, you’d be insane to vote for Trump, Republican or Democrat, white or person of color. Trump is a fool, and seeks only to destroy the strength of our nation."
"{'author': {}, 'comments': [""Found this shortage to be true recently when I had to replace my bike.  All the local shops had or could get were high-end bikes in the $2,000+ range.  Very few 'average' bikes from Trek, Giant, Specialized."", 'Portugal is the larger producer in Europe and we face the same here.'], 'id': 'ba663c075ed2d4c763800d60f416d0c5', 'post': ['Bicycle sales are soaring around the world. The result has been an international bike shortage. And the world’s largest bike maker, Giant, expects its supplies to remain tight for some time to come.']}","Bicycle sales are soaring around the world. The result has been an international bike shortage. And the world’s largest bike maker, Giant, expects its supplies to remain tight for some time to come.","Found this shortage to be true recently when I had to replace my bike.  All the local shops had or could get were high-end bikes in the $2,000+ range.  Very few 'average' bikes from Trek, Giant, Specialized. Portugal is the larger producer in Europe and we face the same here."
"{'author': {}, 'comments': ['She would last there but in a different way! She would change his inner circle. They would be better people or go away!', 'Love this amazing woman.  She is so missed.  She kicked butt with this speech 💜💙'], 'id': '90c80aef0d4c92259d986f9f3c9923ac', 'post': ['In The New York Times Opinion Section, Opinion Columnist Frank Bruni writes: ""Nowhere in Trump’s inner circle is there anyone with the gravitas and grace of Michelle Obama, because someone like her wouldn’t last a nanosecond there.""']}","In The New York Times Opinion Section, Opinion Columnist Frank Bruni writes: ""Nowhere in Trump’s inner circle is there anyone with the gravitas and grace of Michelle Obama, because someone like her wouldn’t last a nanosecond there.""",She would last there but in a different way! She would change his inner circle. They would be better people or go away! Love this amazing woman.  She is so missed.  She kicked butt with this speech 💜💙
