Headword,Related word forms,SFI,U,D   
abdominal,abdominals,50.888,12,0.5733
absorb,"absorbed, absorbing, absorbs",55.197,33,0.845
absorption,,55.479,35,0.8391
accelerate,"accelerated, accelerates, accelerating",54.671,29,0.808
acceleration,,55.071,32,0.4301
accent,"accented, accenting, accents",54.904,31,0.7943
accumulate,"accumulated, accumulates, accumulating",55.566,36,0.9127
accumulation,accumulations,55.973,40,0.9129
accuracy,,58.315,68,0.8824
accurately,,54.63,29,0.9544
acid,acids,61.719,149,0.6212
acidic,,48.035,6,0.6632
activate,"activated, activates, activating",58.462,70,0.6435
actively,,53.924,25,0.895
acute,,57.723,59,0.556
adaptation,adaptations,58.308,68,0.7642
adaptive,,56.439,44,0.8593
adjacent,,56.556,45,0.8801
admission,admissions,54.844,31,0.8687
adolescent,adolescents,58.461,70,0.7521
adverse,,55.387,35,0.6694
aerosol,aerosols,43.708,2,0.7136
aesthetic,"aesthetics, esthetic, esthetics",56.408,44,0.8161
affirm,"affirmed, affirming, affirms",51.347,14,0.7872
afterward,afterwards,51.275,13,0.8644
aggregate,"aggregated, aggregates, aggregating",57.643,58,0.8103
agriculture,agricultures,56.397,44,0.9032
airplane,"aeroplane, aeroplanes, airplanes",46.596,5,0.7743
algebra,algebras,56.842,48,0.6641
algorithm,algorithms,61.252,133,0.6218
alien,aliens,52.156,16,0.8875
alliance,alliances,54.553,29,0.6838
allocate,"allocated, allocates, allocating",54.143,26,0.8308
allocation,allocations,55.697,37,0.8014
altitude,altitudes,50.681,12,0.7922
aluminum,aluminium,49.867,10,0.7693
amino,,56.785,48,0.5223
amongst,,55.515,36,0.8133
amplitude,amplitudes,58.308,68,0.7109
analogy,analogies,55.392,35,0.9522
ancestor,ancestors,53.712,24,0.8173
anthropology,anthropologies,53.282,21,0.3948
anti,,51.771,15,0.8873
antibiotic,antibiotics,53.276,21,0.5182
antibody,antibodies,59.649,92,0.4467
antiquity,antiquities,51.252,13,0.6143
appendix,"appendices, appendixes",56.838,48,0.8392
applause,,42.343,2,0.679
apple,apples,50.807,12,0.923
approximate,"approximated, approximates, approximating",56.929,49,0.7195
approximation,approximations,58.602,72,0.6476
arbitrary,,57.817,60,0.8984
archaeology,,57.178,52,0.409
architect,architects,54.109,26,0.6427
array,arrays,57.299,54,0.7561
arrow,"arrowed, arrowing, arrows",56.304,43,0.9056
articulate,"articulated, articulates, articulating",55.439,35,0.8741
artifact,"artefact, artefacts, artifacts",54.477,28,0.7619
artificial,,56.221,42,0.9313
artistic,,53.283,21,0.7334
artwork,artworks,45.22,3,0.5665
aspect,aspects,64.19,262,0.9385
assembly,assemblies,56.669,46,0.9245
assert,"asserted, asserting, asserts",56.805,48,0.8349
assignment,assignments,56.09,41,0.9262
athletic,athletics,43.62,2,0.7993
atom,atoms,57.173,52,0.6215
atomic,,53.775,24,0.6684
auction,"auctioned, auctioning, auctions",47.752,6,0.4671
audio,,50.308,11,0.9181
audit,"audited, auditing, audits",51.017,13,0.6452
authority,authorities,62.502,178,0.7929
autonomy,,57.139,52,0.9029
availability,,56.633,46,0.8715
axiom,axioms,53.221,21,0.5937
axis,,58.672,74,0.6041
backward,backwards,54.031,25,0.9729
bacteria,,52.311,17,0.5557
bacterial,,54.733,30,0.4646
bang,"banged, banging, bangs",44.77,3,0.8544
bargain,"bargained, bargaining, bargains",52.994,20,0.7559
barrel,"barreled, barreling, barrelled, barrelling, barrels",47.735,6,0.8861
basin,basins,54.858,31,0.7141
bat,"bats, batted, batting",52.83,19,0.9644
beam,"beamed, beaming, beams",59.017,80,0.585
behavioral,behavioural,59.549,90,0.7084
bilingual,,59.488,89,0.5905
binary,binaries,55.168,33,0.665
biodiversity,,50.153,10,0.7142
biologist,biologists,49.565,9,0.8437
biology,biologies,57.114,51,0.8118
bizarre,,47.216,5,0.8821
blank,"blanked, blanking, blanks",50.569,11,0.9188
bleed,"bled, bleeding, bleeds",51.17,13,0.6012
bodily,,51.446,14,0.8043
bonus,bonuses,46.047,4,0.5973
bound,"bounded, bounding, bounds",61.142,130,0.9024
bracket,"bracketed, brackets, bracketted",52.56,18,0.7494
breakdown,breakdowns,54.084,26,0.82
broadly,,54.209,26,0.9034
bubble,"bubbled, bubbles, bubbling",52.573,18,0.8832
bucket,buckets,46.689,5,0.5456
bulk,"bulked, bulking, bulks",54.327,27,0.9305
bullet,bullets,45.326,3,0.8308
bundle,"bundled, bundles, bundling",53.882,24,0.8848
calcium,,56.669,46,0.6556
calculation,calculations,59.182,83,0.8207
calculator,calculators,41.841,2,0.6326
calculus,,57.014,50,0.6738
campus,campuses,47.053,5,0.883
candidate,candidates,59.726,94,0.8945
capillary,capillaries,52.236,17,0.5262
capitalism,,53.954,25,0.6964
capitalist,capitalists,53.876,24,0.7731
carrier,carriers,54.47,28,0.8056
cattle,,56.069,40,0.8624
censor,"censored, censoring, censors",48.281,7,0.6834
characterization,"characterisation, characterisations, characterizations",56.957,50,0.6323
cheat,"cheated, cheating, cheats",46.023,4,0.9163
cheer,"cheered, cheering, cheers",43.81,2,0.777
chemistry,,53.225,21,0.8533
chemotherapy,,52.248,17,0.5637
chess,,43.564,2,0.5698
chloride,chlorides,50.526,11,0.7616
chromosome,chromosomes,58.774,75,0.5353
chronic,,58.07,64,0.5295
chunk,"chunked, chunking, chunks",50.02,10,0.9086
cinema,cinemas,48.811,8,0.5888
circa,,43.488,2,0.2579
circulate,"circulated, circulates, circulating",53.573,23,0.8887
circulation,,55.629,37,0.8416
civilization,"civilisation, civilisations, civilizations",54.785,30,0.7609
clarify,"clarified, clarifies, clarifying",54.827,30,0.9596
classification,classifications,58.542,71,0.8165
classify,"classified, classifies, classifying",57.937,62,0.8752
classroom,classrooms,57.072,51,0.6934
clay,,52.029,16,0.7998
clever,"cleverer, cleverest",47.03,5,0.8907
click,"clicked, clicking, clicks",49.004,8,0.8023
client,clients,56.96,50,0.8043
clinic,clinics,54.145,26,0.7871
clip,"clipped, clipping, clippings, clips",48.398,7,0.9518
clone,"cloned, clones, cloning",55.741,38,0.5713
closure,closures,56.642,46,0.7376
clue,clues,52.362,17,0.9662
coefficient,coefficients,60.834,121,0.6528
cognitive,,62.068,161,0.7067
coherent,,54.801,30,0.942
collective,collectives,57.824,61,0.8232
colonial,colonials,59.37,86,0.7868
colony,colonies,56.871,49,0.8483
comma,commas,47.236,5,0.5475
commentary,commentaries,56.292,43,0.7984
commodity,commodities,53.805,24,0.8349
commonly,,58.322,68,0.8139
communicative,,54.003,25,0.6916
communist,communists,53.467,22,0.7881
compact,"compacted, compacting, compacts",57.786,60,0.8097
comparable,,57.333,54,0.8811
comparative,comparatives,58.502,71,0.8377
compensate,"compensated, compensates, compensating",53.779,24,0.9123
competence,competences,56.8,48,0.8107
competent,,51.528,14,0.8858
complement,"complemented, complementing, complements",57.666,58,0.8728
complication,complications,55.513,36,0.6856
comply,"complied, complies, complying",51.017,13,0.7746
composer,composers,56.92,49,0.5106
composite,,53.91,25,0.8342
comprehension,,56.904,49,0.7918
computation,computations,57.915,62,0.7482
conceive,"conceived, conceives, conceiving",55.644,37,0.8336
conception,conceptions,58.038,64,0.8575
conceptual,,58.113,65,0.8692
conditional,conditionals,57.096,51,0.7908
conduction,,50.328,11,0.7722
cone,cones,58.244,67,0.7777
conference,conferences,58.044,64,0.9034
